Partido,Local,Visitante,Temporada,Puntos Local,Puntos Visitante,Puntos en zona Local,Puntos 2a oportunidad Local,Puntos en transición Local,Triples Local,Triples intentados Local,% triples Local,Tiros libres Local,Tiros libres intentados Local,% tiros libres Local,Puntos en zona Visitante,Puntos 2a oportunidad Visitante,Puntos en transición Visitante,Triples Visitante,Triples intentados Visitante,% triples Visitante,Tiros libres Visitante,Tiros libres intentados Visitante,% tiros libres Visitante,Puntos de media distancia Local,Puntos de media distancia Visitante,Puntos en zona Total,Puntos de media distancia Total,Puntos de 3 Total,Puntos tiros libres Total,Puntos en transición Total,Puntos Total,Triples intentados Total,Triples encestados Total
IND vs. NYK,NYK,IND,2012,93.0,82.0,26.0,16.0,3.0,8.0,25.0,0.32,23.0,30.0,0.767,36.0,19.0,10.0,8.0,28.0,0.286,12.0,14.0,0.857,36.0,26.0,62.0,62.0,48.0,35.0,13.0,175.0,53.0,16.0
OKC vs. MEM,MEM,OKC,2012,84.0,88.0,36.0,11.0,13.0,6.0,25.0,0.24,16.0,21.0,0.762,38.0,16.0,11.0,3.0,14.0,0.214,25.0,29.0,0.862,26.0,22.0,74.0,48.0,27.0,41.0,24.0,172.0,39.0,9.0
MIA vs. CHI,MIA,CHI,2012,94.0,91.0,30.0,14.0,6.0,6.0,21.0,0.286,24.0,33.0,0.727,34.0,14.0,4.0,8.0,19.0,0.421,17.0,24.0,0.708,34.0,32.0,64.0,66.0,42.0,41.0,10.0,185.0,40.0,14.0
GSW vs. SAS,GSW,SAS,2012,82.0,94.0,34.0,12.0,9.0,4.0,16.0,0.25,12.0,19.0,0.632,36.0,10.0,9.0,7.0,19.0,0.368,21.0,25.0,0.84,32.0,30.0,70.0,62.0,33.0,33.0,18.0,176.0,35.0,11.0
NYK vs. IND,NYK,IND,2012,85.0,75.0,30.0,9.0,7.0,7.0,18.0,0.389,14.0,17.0,0.824,32.0,24.0,2.0,6.0,19.0,0.316,19.0,33.0,0.576,34.0,18.0,62.0,52.0,39.0,33.0,9.0,160.0,37.0,13.0
IND vs. NYK,NYK,IND,2012,106.0,99.0,20.0,14.0,0.0,4.0,15.0,0.267,34.0,46.0,0.739,52.0,17.0,12.0,13.0,30.0,0.433,18.0,18.0,1.0,48.0,16.0,72.0,64.0,51.0,52.0,12.0,205.0,45.0,17.0
SAS vs. MEM,MEM,SAS,2012,105.0,83.0,32.0,11.0,12.0,14.0,29.0,0.483,11.0,14.0,0.786,30.0,12.0,10.0,5.0,12.0,0.417,14.0,20.0,0.7,48.0,34.0,62.0,82.0,57.0,25.0,22.0,188.0,41.0,19.0
SAS vs. MEM,SAS,MEM,2012,93.0,89.0,40.0,2.0,12.0,9.0,25.0,0.36,12.0,17.0,0.706,38.0,8.0,6.0,5.0,17.0,0.294,18.0,26.0,0.692,32.0,28.0,78.0,60.0,42.0,30.0,18.0,182.0,42.0,14.0
MIA vs. IND,,,2012,103.0,102.0,,,,5.0,18.0,0.278,16.0,25.0,0.64,,,,4.0,14.0,0.286,24.0,32.0,0.75,,,,,27.0,40.0,,205.0,32.0,9.0
MIA vs. IND,MIA,IND,2012,93.0,97.0,40.0,9.0,8.0,7.0,22.0,0.318,18.0,26.0,0.692,40.0,8.0,6.0,5.0,12.0,0.417,26.0,32.0,0.813,28.0,26.0,80.0,54.0,36.0,44.0,14.0,190.0,34.0,12.0
IND vs. MIA,MIA,IND,2012,96.0,114.0,52.0,10.0,6.0,8.0,14.0,0.571,30.0,44.0,0.682,36.0,24.0,10.0,6.0,14.0,0.429,24.0,28.0,0.857,6.0,48.0,88.0,54.0,42.0,54.0,16.0,210.0,28.0,14.0
MEM vs. SAS,MEM,SAS,2012,86.0,93.0,32.0,16.0,10.0,5.0,14.0,0.357,17.0,24.0,0.708,52.0,10.0,14.0,3.0,13.0,0.231,12.0,13.0,0.923,32.0,26.0,84.0,58.0,24.0,29.0,24.0,179.0,27.0,8.0
IND vs. MIA,IND,MIA,2012,99.0,92.0,50.0,19.0,8.0,3.0,14.0,0.214,26.0,33.0,0.788,32.0,12.0,16.0,8.0,23.0,0.348,24.0,27.0,0.889,20.0,28.0,82.0,48.0,33.0,50.0,24.0,191.0,37.0,11.0
MIA vs. IND,MIA,IND,2012,90.0,79.0,34.0,10.0,9.0,7.0,18.0,0.389,7.0,12.0,0.583,32.0,8.0,4.0,5.0,13.0,0.385,12.0,15.0,0.8,42.0,30.0,66.0,72.0,36.0,19.0,13.0,169.0,31.0,12.0
IND vs. MIA,MIA,IND,2012,91.0,77.0,22.0,5.0,15.0,6.0,11.0,0.545,11.0,18.0,0.611,44.0,14.0,14.0,10.0,18.0,0.556,15.0,19.0,0.789,52.0,8.0,66.0,60.0,48.0,26.0,29.0,168.0,29.0,16.0
MIA vs. IND,MIA,IND,2012,99.0,76.0,30.0,22.0,7.0,6.0,16.0,0.375,33.0,38.0,0.868,30.0,12.0,5.0,6.0,20.0,0.3,14.0,20.0,0.7,30.0,26.0,60.0,56.0,36.0,47.0,12.0,175.0,36.0,12.0
MIA vs. SAS,MIA,SAS,2012,88.0,92.0,34.0,8.0,9.0,8.0,25.0,0.32,12.0,17.0,0.706,40.0,21.0,4.0,7.0,23.0,0.304,15.0,18.0,0.833,34.0,30.0,74.0,64.0,45.0,27.0,13.0,180.0,48.0,15.0
MIA vs. SAS,SAS,MIA,2012,103.0,84.0,38.0,15.0,3.0,10.0,19.0,0.526,11.0,14.0,0.786,46.0,14.0,13.0,10.0,20.0,0.5,10.0,14.0,0.714,44.0,18.0,84.0,62.0,60.0,21.0,16.0,187.0,39.0,20.0
SAS vs. MIA,SAS,MIA,2012,113.0,77.0,40.0,20.0,20.0,16.0,32.0,0.5,11.0,19.0,0.579,32.0,11.0,11.0,8.0,18.0,0.444,7.0,10.0,0.7,46.0,30.0,72.0,76.0,72.0,18.0,31.0,190.0,50.0,24.0
SAS vs. MIA,SAS,MIA,2012,93.0,109.0,38.0,7.0,6.0,8.0,16.0,0.5,23.0,31.0,0.742,50.0,12.0,14.0,4.0,12.0,0.333,15.0,17.0,0.882,24.0,40.0,88.0,64.0,36.0,38.0,20.0,202.0,28.0,12.0
SAS vs. MIA,SAS,MIA,2012,114.0,104.0,50.0,8.0,18.0,9.0,22.0,0.409,21.0,26.0,0.808,40.0,20.0,16.0,11.0,23.0,0.478,19.0,23.0,0.826,34.0,34.0,90.0,68.0,60.0,40.0,34.0,218.0,45.0,20.0
MIA vs. SAS,,,2012,103.0,100.0,,,,11.0,19.0,0.579,16.0,21.0,0.762,,,,5.0,18.0,0.278,21.0,28.0,0.75,,,,,48.0,37.0,,203.0,37.0,16.0
MIA vs. SAS,SAS,MIA,2012,95.0,88.0,48.0,15.0,8.0,12.0,32.0,0.375,11.0,16.0,0.688,24.0,16.0,5.0,6.0,19.0,0.316,20.0,22.0,0.909,24.0,38.0,72.0,62.0,54.0,31.0,13.0,183.0,51.0,18.0
LAL vs. LAC,LAL,LAC,2013,116.0,103.0,42.0,30.0,13.0,14.0,29.0,0.483,18.0,28.0,0.643,48.0,16.0,19.0,8.0,21.0,0.381,13.0,23.0,0.565,42.0,34.0,90.0,76.0,66.0,31.0,32.0,219.0,50.0,22.0
IND vs. ORL,IND,ORL,2013,97.0,87.0,36.0,11.0,13.0,7.0,17.0,0.412,22.0,32.0,0.688,34.0,18.0,10.0,9.0,19.0,0.474,6.0,10.0,0.6,32.0,38.0,70.0,70.0,48.0,28.0,23.0,184.0,36.0,16.0
MIA vs. CHI,MIA,CHI,2013,107.0,95.0,34.0,5.0,10.0,11.0,20.0,0.55,22.0,29.0,0.759,50.0,16.0,17.0,7.0,26.0,0.269,18.0,23.0,0.783,40.0,20.0,84.0,60.0,54.0,40.0,27.0,202.0,46.0,18.0
MIN vs. ORL,ORL,MIN,2013,120.0,115.0,46.0,17.0,11.0,8.0,25.0,0.32,28.0,34.0,0.824,46.0,14.0,18.0,10.0,27.0,0.37,11.0,18.0,0.611,38.0,48.0,92.0,86.0,54.0,39.0,29.0,235.0,52.0,18.0
SAS vs. MEM,SAS,MEM,2013,101.0,94.0,50.0,7.0,19.0,11.0,20.0,0.55,10.0,16.0,0.625,40.0,19.0,11.0,8.0,15.0,0.533,8.0,15.0,0.533,30.0,38.0,90.0,68.0,57.0,18.0,30.0,195.0,35.0,19.0
UTA vs. OKC,UTA,OKC,2013,98.0,101.0,56.0,15.0,14.0,6.0,22.0,0.273,20.0,30.0,0.667,32.0,10.0,25.0,6.0,19.0,0.316,29.0,33.0,0.879,16.0,34.0,88.0,50.0,36.0,49.0,39.0,199.0,41.0,12.0
DET vs. WAS,WAS,DET,2013,113.0,102.0,28.0,12.0,9.0,9.0,24.0,0.375,26.0,33.0,0.788,56.0,16.0,13.0,10.0,25.0,0.4,24.0,32.0,0.75,50.0,12.0,84.0,62.0,57.0,50.0,22.0,215.0,49.0,19.0
SAC vs. DEN,SAC,DEN,2013,90.0,88.0,40.0,19.0,11.0,8.0,21.0,0.381,16.0,23.0,0.696,38.0,14.0,23.0,5.0,15.0,0.333,15.0,17.0,0.882,26.0,30.0,78.0,56.0,39.0,31.0,34.0,178.0,36.0,13.0
TOR vs. BOS,TOR,BOS,2013,93.0,87.0,44.0,28.0,11.0,5.0,17.0,0.294,12.0,23.0,0.522,40.0,12.0,12.0,3.0,13.0,0.231,20.0,29.0,0.69,32.0,24.0,84.0,56.0,24.0,32.0,23.0,180.0,30.0,8.0
NYK vs. MIL,NYK,MIL,2013,90.0,83.0,50.0,7.0,24.0,3.0,13.0,0.231,15.0,17.0,0.882,28.0,10.0,10.0,5.0,16.0,0.313,10.0,12.0,0.833,22.0,40.0,78.0,62.0,24.0,25.0,34.0,173.0,29.0,8.0
CLE vs. BKN,CLE,BKN,2013,98.0,94.0,34.0,16.0,11.0,5.0,15.0,0.333,23.0,34.0,0.676,30.0,14.0,12.0,9.0,24.0,0.375,19.0,24.0,0.792,36.0,36.0,64.0,72.0,42.0,42.0,23.0,192.0,39.0,14.0
PHX vs. POR,PHX,POR,2013,104.0,91.0,52.0,12.0,31.0,4.0,19.0,0.211,14.0,18.0,0.778,24.0,5.0,19.0,8.0,26.0,0.308,17.0,24.0,0.708,34.0,42.0,76.0,76.0,36.0,31.0,50.0,195.0,45.0,12.0
PHI vs. MIA,MIA,PHI,2013,114.0,110.0,36.0,4.0,11.0,8.0,21.0,0.381,20.0,24.0,0.833,50.0,8.0,26.0,16.0,40.0,0.4,10.0,13.0,0.769,50.0,34.0,86.0,84.0,72.0,30.0,37.0,224.0,61.0,24.0
GSW vs. LAL,GSW,LAL,2013,125.0,94.0,40.0,7.0,22.0,15.0,27.0,0.556,18.0,23.0,0.783,40.0,10.0,17.0,8.0,18.0,0.444,16.0,21.0,0.762,52.0,30.0,80.0,82.0,69.0,34.0,39.0,219.0,45.0,23.0
HOU vs. CHA,CHA,HOU,2013,96.0,83.0,42.0,15.0,15.0,9.0,25.0,0.36,15.0,24.0,0.625,46.0,20.0,7.0,4.0,10.0,0.4,13.0,20.0,0.65,30.0,20.0,88.0,50.0,39.0,28.0,22.0,179.0,35.0,13.0
NOP vs. IND,NOP,IND,2013,90.0,95.0,32.0,10.0,13.0,5.0,11.0,0.455,17.0,21.0,0.81,32.0,7.0,5.0,10.0,23.0,0.435,25.0,30.0,0.833,36.0,28.0,64.0,64.0,45.0,42.0,18.0,185.0,34.0,15.0
CHI vs. NYK,,,2013,82.0,81.0,,,,3.0,16.0,0.188,17.0,19.0,0.895,,,,9.0,24.0,0.375,10.0,14.0,0.714,,,,,36.0,27.0,,163.0,40.0,12.0
LAC vs. GSW,LAC,GSW,2013,126.0,115.0,48.0,18.0,22.0,9.0,28.0,0.321,33.0,50.0,0.66,42.0,12.0,17.0,12.0,21.0,0.571,23.0,33.0,0.697,36.0,38.0,90.0,74.0,63.0,56.0,39.0,241.0,49.0,21.0
DEN vs. POR,DEN,POR,2013,98.0,113.0,50.0,22.0,10.0,6.0,18.0,0.333,20.0,34.0,0.588,32.0,27.0,13.0,14.0,22.0,0.636,11.0,15.0,0.733,22.0,56.0,82.0,78.0,60.0,31.0,23.0,211.0,40.0,20.0
CHA vs. CLE,CHA,CLE,2013,90.0,84.0,38.0,3.0,17.0,3.0,12.0,0.25,21.0,34.0,0.618,36.0,21.0,12.0,4.0,18.0,0.222,16.0,22.0,0.727,28.0,28.0,74.0,56.0,21.0,37.0,29.0,174.0,30.0,7.0
MEM vs. DET,DET,MEM,2013,111.0,108.0,56.0,5.0,25.0,6.0,18.0,0.333,25.0,30.0,0.833,48.0,15.0,24.0,7.0,21.0,0.333,17.0,24.0,0.708,24.0,36.0,104.0,60.0,39.0,42.0,49.0,219.0,39.0,13.0
MIN vs. OKC,MIN,OKC,2013,100.0,81.0,44.0,6.0,17.0,8.0,20.0,0.4,26.0,33.0,0.788,20.0,9.0,2.0,7.0,31.0,0.226,16.0,19.0,0.842,22.0,38.0,64.0,60.0,45.0,42.0,19.0,181.0,51.0,15.0
BOS vs. MIL,,,2013,98.0,105.0,,,,4.0,16.0,0.25,26.0,38.0,0.684,,,,6.0,15.0,0.4,29.0,34.0,0.853,,,,,30.0,55.0,,203.0,31.0,10.0
LAL vs. SAS,LAL,SAS,2013,85.0,91.0,32.0,8.0,10.0,8.0,27.0,0.296,17.0,24.0,0.708,40.0,20.0,8.0,5.0,21.0,0.238,10.0,14.0,0.714,28.0,36.0,72.0,64.0,39.0,27.0,18.0,176.0,48.0,13.0
SAC vs. LAC,SAC,LAC,2013,101.0,110.0,40.0,16.0,12.0,6.0,17.0,0.353,23.0,32.0,0.719,26.0,15.0,16.0,12.0,24.0,0.5,28.0,34.0,0.824,32.0,44.0,66.0,76.0,54.0,51.0,28.0,211.0,41.0,18.0
PHX vs. UTA,UTA,PHX,2013,87.0,84.0,36.0,19.0,14.0,6.0,22.0,0.273,19.0,24.0,0.792,40.0,12.0,24.0,5.0,17.0,0.294,17.0,27.0,0.63,26.0,22.0,76.0,48.0,33.0,36.0,38.0,171.0,39.0,11.0
HOU vs. DAL,HOU,DAL,2013,113.0,105.0,40.0,18.0,19.0,11.0,29.0,0.379,34.0,51.0,0.667,44.0,17.0,17.0,9.0,27.0,0.333,20.0,25.0,0.8,28.0,32.0,84.0,60.0,60.0,54.0,36.0,218.0,56.0,20.0
GSW vs. SAC,SAC,GSW,2013,98.0,87.0,38.0,19.0,17.0,11.0,27.0,0.407,9.0,12.0,0.75,36.0,6.0,16.0,6.0,26.0,0.231,21.0,24.0,0.875,40.0,24.0,74.0,64.0,51.0,30.0,33.0,185.0,53.0,17.0
POR vs. SAS,POR,SAS,2013,115.0,105.0,34.0,8.0,7.0,8.0,20.0,0.4,17.0,19.0,0.895,52.0,18.0,2.0,6.0,12.0,0.5,5.0,8.0,0.625,56.0,42.0,86.0,98.0,42.0,22.0,9.0,220.0,32.0,14.0
DAL vs. MEM,DAL,MEM,2013,111.0,99.0,40.0,18.0,20.0,7.0,19.0,0.368,40.0,46.0,0.87,48.0,17.0,23.0,3.0,16.0,0.188,22.0,26.0,0.846,24.0,26.0,88.0,50.0,30.0,62.0,43.0,210.0,35.0,10.0
PHI vs. CHI,,,2013,107.0,104.0,,,,11.0,22.0,0.5,12.0,18.0,0.667,,,,3.0,14.0,0.214,17.0,19.0,0.895,,,,,42.0,29.0,,211.0,36.0,14.0
UTA vs. HOU,HOU,UTA,2013,93.0,104.0,48.0,11.0,21.0,4.0,22.0,0.182,21.0,27.0,0.778,38.0,21.0,8.0,9.0,22.0,0.409,27.0,35.0,0.771,20.0,30.0,86.0,50.0,39.0,48.0,29.0,197.0,44.0,13.0
NOP vs. CHA,CHA,NOP,2013,105.0,84.0,32.0,19.0,5.0,7.0,13.0,0.538,24.0,28.0,0.857,42.0,9.0,12.0,3.0,21.0,0.143,21.0,36.0,0.583,42.0,18.0,74.0,60.0,30.0,45.0,17.0,189.0,34.0,10.0
IND vs. CLE,IND,CLE,2013,89.0,74.0,28.0,9.0,12.0,10.0,28.0,0.357,15.0,20.0,0.75,24.0,2.0,17.0,3.0,15.0,0.2,13.0,15.0,0.867,36.0,34.0,52.0,70.0,39.0,28.0,29.0,163.0,43.0,13.0
DET vs. BOS,BOS,DET,2013,87.0,77.0,38.0,8.0,10.0,2.0,13.0,0.154,17.0,29.0,0.586,54.0,19.0,19.0,3.0,16.0,0.188,12.0,12.0,1.0,30.0,8.0,92.0,38.0,15.0,29.0,29.0,164.0,29.0,5.0
LAL vs. ATL,LAL,ATL,2013,105.0,103.0,36.0,10.0,12.0,9.0,25.0,0.36,20.0,24.0,0.833,40.0,12.0,15.0,9.0,22.0,0.409,14.0,26.0,0.538,40.0,40.0,76.0,80.0,54.0,34.0,27.0,208.0,47.0,18.0
MIA vs. WAS,MIA,WAS,2013,103.0,93.0,36.0,10.0,10.0,11.0,27.0,0.407,18.0,27.0,0.667,34.0,21.0,8.0,12.0,30.0,0.4,11.0,16.0,0.688,38.0,36.0,70.0,74.0,69.0,29.0,18.0,196.0,57.0,23.0
NYK vs. MIN,MIN,NYK,2013,100.0,109.0,42.0,6.0,23.0,9.0,32.0,0.281,11.0,13.0,0.846,46.0,16.0,14.0,10.0,27.0,0.37,29.0,38.0,0.763,38.0,24.0,88.0,62.0,57.0,40.0,37.0,209.0,59.0,19.0
OKC vs. PHX,PHX,OKC,2013,103.0,96.0,18.0,11.0,24.0,2.0,18.0,0.111,31.0,37.0,0.838,46.0,13.0,14.0,14.0,37.0,0.378,18.0,22.0,0.818,52.0,18.0,64.0,70.0,48.0,49.0,38.0,199.0,55.0,16.0
ORL vs. BKN,ORL,BKN,2013,107.0,86.0,42.0,23.0,12.0,7.0,17.0,0.412,16.0,22.0,0.727,26.0,12.0,3.0,4.0,17.0,0.235,14.0,15.0,0.933,42.0,42.0,68.0,84.0,33.0,30.0,15.0,193.0,34.0,11.0
PHI vs. GSW,PHI,GSW,2013,90.0,110.0,44.0,15.0,20.0,5.0,25.0,0.2,23.0,37.0,0.622,30.0,10.0,35.0,15.0,38.0,0.395,13.0,20.0,0.65,18.0,52.0,74.0,70.0,60.0,36.0,55.0,200.0,63.0,20.0
LAC vs. HOU,LAC,HOU,2013,137.0,118.0,50.0,18.0,7.0,15.0,38.0,0.395,24.0,28.0,0.857,62.0,16.0,9.0,7.0,25.0,0.28,29.0,43.0,0.674,48.0,20.0,112.0,68.0,66.0,53.0,16.0,255.0,63.0,22.0
MEM vs. BOS,MEM,BOS,2013,95.0,88.0,34.0,14.0,10.0,5.0,15.0,0.333,18.0,22.0,0.818,30.0,4.0,14.0,7.0,20.0,0.35,15.0,18.0,0.833,38.0,36.0,64.0,74.0,36.0,33.0,24.0,183.0,35.0,12.0
CLE vs. MIN,CLE,MIN,2013,93.0,92.0,42.0,13.0,8.0,5.0,16.0,0.313,10.0,11.0,0.909,48.0,12.0,30.0,5.0,28.0,0.179,19.0,24.0,0.792,36.0,20.0,90.0,56.0,30.0,29.0,38.0,185.0,44.0,10.0
POR vs. HOU,POR,HOU,2013,101.0,116.0,28.0,5.0,6.0,10.0,31.0,0.323,19.0,29.0,0.655,54.0,18.0,19.0,6.0,22.0,0.273,28.0,34.0,0.824,44.0,28.0,82.0,72.0,48.0,47.0,25.0,217.0,53.0,16.0
DEN vs. SAS,SAS,DEN,2013,94.0,102.0,54.0,10.0,13.0,9.0,19.0,0.474,15.0,20.0,0.75,40.0,15.0,9.0,4.0,16.0,0.25,18.0,20.0,0.9,16.0,40.0,94.0,56.0,39.0,33.0,22.0,196.0,35.0,13.0
NOP vs. PHX,PHX,NOP,2013,98.0,104.0,38.0,4.0,20.0,10.0,18.0,0.556,14.0,19.0,0.737,30.0,12.0,24.0,12.0,25.0,0.48,14.0,22.0,0.636,36.0,48.0,68.0,84.0,66.0,28.0,44.0,202.0,43.0,22.0
SAC vs. ATL,ATL,SAC,2013,100.0,105.0,48.0,13.0,11.0,10.0,31.0,0.323,20.0,21.0,0.952,40.0,16.0,29.0,8.0,22.0,0.364,19.0,26.0,0.731,22.0,38.0,88.0,60.0,54.0,39.0,40.0,205.0,53.0,18.0
DET vs. IND,DET,IND,2013,91.0,99.0,46.0,14.0,15.0,5.0,25.0,0.2,20.0,25.0,0.8,42.0,6.0,13.0,9.0,21.0,0.429,14.0,23.0,0.609,20.0,34.0,88.0,54.0,42.0,34.0,28.0,190.0,46.0,14.0
DAL vs. LAL,LAL,DAL,2013,123.0,104.0,36.0,15.0,16.0,13.0,27.0,0.481,12.0,14.0,0.857,52.0,12.0,21.0,12.0,31.0,0.387,14.0,20.0,0.7,62.0,26.0,88.0,88.0,75.0,26.0,37.0,227.0,58.0,25.0
BKN vs. UTA,BKN,UTA,2013,104.0,88.0,58.0,12.0,25.0,4.0,11.0,0.364,20.0,32.0,0.625,26.0,17.0,6.0,4.0,18.0,0.222,22.0,30.0,0.733,22.0,36.0,84.0,58.0,24.0,42.0,31.0,192.0,29.0,8.0
TOR vs. MIA,MIA,TOR,2013,95.0,104.0,48.0,16.0,11.0,6.0,21.0,0.286,27.0,33.0,0.818,42.0,23.0,2.0,10.0,23.0,0.435,12.0,14.0,0.857,14.0,40.0,90.0,54.0,48.0,39.0,13.0,199.0,44.0,16.0
CHA vs. TOR,TOR,CHA,2013,92.0,90.0,44.0,19.0,9.0,3.0,15.0,0.2,17.0,30.0,0.567,42.0,13.0,16.0,7.0,16.0,0.438,13.0,15.0,0.867,28.0,28.0,86.0,56.0,30.0,30.0,25.0,182.0,31.0,10.0
MIN vs. GSW,GSW,MIN,2013,93.0,106.0,48.0,11.0,20.0,4.0,16.0,0.25,21.0,27.0,0.778,46.0,11.0,11.0,8.0,20.0,0.4,14.0,20.0,0.7,20.0,38.0,94.0,58.0,36.0,35.0,31.0,199.0,36.0,12.0
SAS vs. PHX,,,2013,99.0,96.0,,,,6.0,16.0,0.375,11.0,15.0,0.733,,,,7.0,19.0,0.368,5.0,9.0,0.556,,,,,39.0,16.0,,195.0,35.0,13.0
OKC vs. DAL,OKC,DAL,2013,107.0,93.0,54.0,12.0,27.0,5.0,13.0,0.385,16.0,23.0,0.696,42.0,14.0,15.0,9.0,23.0,0.391,12.0,14.0,0.857,32.0,30.0,96.0,62.0,42.0,28.0,42.0,200.0,36.0,14.0
